crime,number,date,location,beat,neighbourhood,npu,latitude,longitude
AUTO THEFT,121731078,06212012,3384 PEACHTREE RD NE,208,North Buckhead,B,33.84905,-84.36539
LARCENY-NON VEHICLE,121731122,06212012,390 W LAKE AVE NW,107,Grove Park,J,33.76595,-84.44204
AUTO THEFT,121732252,06212012,2910 CAMPBELLTON RD SW,409,Southwest,R,33.69754,-84.48365
ROBBERY-PEDESTRIAN,121732349,06212012,765 PEEPLES ST SW ,401,West End,T,33.7341,-84.42176
BURGLARY-RESIDENCE,121722076,06202012,1016 LOMA LINDA ST SW,402,Bush Mountain,S,33.72742,-84.43242
LARCENY-NON VEHICLE,121722097,06202012,235 LAMPKIN ST NE,604,Old Fourth Ward,M,33.76044,-84.36695
LARCENY-FROM VEHICLE,121720924,06202012,239 GRANT ST SE,605,Oakland,W,33.74798,-84.37673
AUTO THEFT,121720930,06202012,565 WELLS ST SW,303,Mechanicsville,V,33.74005,-84.40649
BURGLARY-RESIDENCE,121722379,06202012,751 FAIRBURN RD SW,407,Fairburn Mays,H,33.73454,-84.51059
LARCENY-NON VEHICLE,121722388,06202012,1280 PEACHTREE ST NE,502,Midtown,E,33.78934,-84.38535
AGG ASSAULT,121710261,06192012,3184 ROSWELL RD,206,South Tuxedo Park,B,33.84213,-84.37923
BURGLARY-NONRES,121710294,06192012,1937 PEACHTREE RD NE,207,Brookwood Hills,E,33.80792,-84.39335
LARCENY-NON VEHICLE,121711250,06192012,945 OAK ST SW,401,West End,T,33.73985,-84.41909
LARCENY-FROM VEHICLE,121711270,06192012,3495 PIEDMONT RD NE,208,North Buckhead,B,33.85005,-84.37755
AGG ASSAULT,121712111,06192012,1325 REDFORD DR SE,308,Rebel Valley Forest,Z,33.6877,-84.35483
LARCENY-NON VEHICLE,121712164,06192012,763 CASCADE AVE SW,404,Westview,T,33.73439,-84.43707
LARCENY-FROM VEHICLE,121700236,06182012,817 PARK ST SW,101,Harris Chiles,T,33.74191,-84.41462
