crime,number,date,location,beat,neighbourhood,npu,latitude,longitude
BURGLARY-RESIDENCE,93512290,12172009,1550 ELLEBY RD SE,607,Benteen Park,W,33.71241,-84.36056
BURGLARY-RESIDENCE,93510957,12172009,3112 WATERS RD SW,312,Glenrose Heights,Z,33.66947,-84.39668
LARCENY-NON VEHICLE,93511405,12172009,2909 CAMPBELLTON RD SW,409,Southwest,R,33.69869,-84.48265
ROBBERY-PEDESTRIAN,93512112,12172009,3540 N CAMP CREEK PKWY SW,414,,P,33.67051,-84.50299
ROBBERY-PEDESTRIAN,93502248,12162009,50 LOWER ALABAMA ST( FOOD COURT),511,Downtown,M,33.75194,-84.38964
BURGLARY-RESIDENCE,93500701,12162009,3667 BUNKER HILL DR SW,413,Ben Hill Pines,P,33.68486,-84.50861
BURGLARY-RESIDENCE,93501390,12162009,3260 VERDANT DR,411,Greenbriar,R,33.68348,-84.49585
ROBBERY-PEDESTRIAN,93492263,12152009,1049 SEABOARD AVE NE,606,Reynoldstown,N,33.75653,-84.35243
BURGLARY-RESIDENCE,93491480,12152009,2669 HOOD AVE NW,109,Center Hill,J,33.76879,-84.4703
LARCENY-NON VEHICLE,93491973,12152009,655 S EUGENIA PL NW,107,Grove Park,J,33.77288,-84.4535
BURGLARY-RESIDENCE,93490832,12152009,3018 IMPERIAL CT SW,409,Southwest,R,33.69925,-84.49503
BURGLARY-NONRES,93480013,12142009,2685 METROPOLITAN PKWY SW,309,Perkerson,X,33.68274,-84.40902
AUTO THEFT,93480879,12142009,777 PONCE DE LEON AVE NE,602,Poncey-Highland,N,33.77361,-84.36187
ROBBERY-PEDESTRIAN,93481866,12142009,1042 LENA ST NW,105,Washington Park,K,33.7564,-84.42301
AUTO THEFT,93481440,12142009,6103 RENAISSANCE WAY NE,603,Old Fourth Ward,M,33.76572,-84.3788
AGG ASSAULT,93470781,12132009,525 MARTIN ST SE,304,Summerhill,V,33.74021,-84.38423
ROBBERY-PEDESTRIAN,93471288,12132009,2747 DEERWOOD LN SW,414,Ben Hill,P,33.67219,-84.5156
BURGLARY-NONRES,93460333,12122009,2841 GREENBRIAR PKWY SW,411,Greenbriar,R,33.68677,-84.49773
AUTO THEFT,93461138,12122009,816 VIRGINIA CIR NE,601,Virginia Highland,F,33.78109,-84.36067
AUTO THEFT,93461526,12122009,140 MOUNT ZION RD SE,312,Glenrose Heights,Z,33.67299,-84.38479
LARCENY-NON VEHICLE,93451212,12112009,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278
ROBBERY-PEDESTRIAN,93451936,12112009,LEE ST. AND OAK ST.,301,Pittsburgh,V,33.73692,-84.40814
AUTO THEFT,93450758,12112009,2458 MEMORIAL DR SE,611,East Lake,O,33.7475,-84.30639
AUTO THEFT,93440281,12102009,312 LELAND TER NE,610,Kirkwood,O,33.76227,-84.31363
LARCENY-FROM VEHICLE,93441028,12102009,2924 COLLIER DR NW,112,Collier Heights,I,33.76396,-84.48247
BURGLARY-RESIDENCE,93441903,12102009,1765 BREWER BLVD SW,306,Sylvan Hills,X,33.70608,-84.41443
LARCENY-NON VEHICLE,93431002,12092009,2479 ABNER TER NW,110,Carver Hills,G,33.80063,-84.46635
LARCENY-NON VEHICLE,93431471,12092009,4360 POWERS FERRY RD NW,202,Chastain Park,A,33.87377,-84.39995
BURGLARY-NONRES,93430497,12092009,2836 LAKEWOOD AVE SW,306,Sylvan Hills,X,33.69695,-84.41124
LARCENY-FROM VEHICLE,93432165,12092009,150 CARNEGIE WAY NW,508,Downtown,M,33.75873,-84.3889
AUTO THEFT,93420881,12082009,250 AMAL DR,307,Betmar LaVilla,Y,33.70588,-84.39604
LARCENY-NON VEHICLE,93421536,12082009,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212
LARCENY-FROM VEHICLE,93420798,12082009,1371 KIMBERLY WAY SW,412,Ashley Courts,P,33.71909,-84.52146
LARCENY-FROM VEHICLE,93422143,12082009,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212
ROBBERY-RESIDENCE,93412045,12072009,181 ROSSER ST SW,104,Ashview Heights,T,33.74988,-84.42459
LARCENY-FROM VEHICLE,93410494,12072009,282 HUNNICUTT ST NW,504,Downtown,M,33.76655,-84.39645
BURGLARY-NONRES,93410936,12072009,320 LAKE FORREST LN NE,209,East Chastain Park,B,33.87081,-84.38454
BURGLARY-RESIDENCE,93411286,12072009,1598 BEATIE AVE SW,301,Capitol View,X,33.71141,-84.41067
AUTO THEFT,93400093,12062009,930 SPRING ST NW,503,Midtown,E,33.78004,-84.38973
LARCENY-FROM VEHICLE,93400759,12062009,275 BAKER ST NW,508,Downtown,M,33.76206,-84.39568
AGG ASSAULT,93401223,12062009,1940 FISHER RD,607,Custer/McDonough/Guice,W,33.7126,-84.35796
AGG ASSAULT,93401715,12062009,3194 EMPIRE BLVD.,312,Glenrose Heights,Z,33.66783,-84.39276
ROBBERY-PEDESTRIAN,93390415,12052009,303 PARKWAY DR NE,604,Old Fourth Ward,M,33.76286,-84.37405
AUTO THEFT,93392047,12052009,PEACHTREE CENTER AVE NE / ELLIS ST NE,510,Downtown,M,33.75841,-84.38608
BURGLARY-RESIDENCE,93391583,12052009,1191 OAKLAND LN SW,403,Oakland City,S,33.71965,-84.42716
ROBBERY-PEDESTRIAN,93380065,12042009,3020 PEACHTREE RD NW,206,Peachtree Heights West,B,33.83737,-84.38165
LARCENY-FROM VEHICLE,93380780,12042009,791 PENN AVE NE,505,Midtown,E,33.77629,-84.37839
LARCENY-FROM VEHICLE,93382006,12042009,931 MONROE DR NE,506,Midtown,E,33.77973,-84.3676
ROBBERY-RESIDENCE,93381317,12042009,3557 BOLFAIR DR NW,114,Carroll Heights,H,33.77754,-84.50389
LARCENY-NON VEHICLE,93372548,12032009,1980 CAMPBELLTON RD SW,410,Campbellton Road,R,33.70769,-84.45372
LARCENY-FROM VEHICLE,93371078,12032009,3405 LENOX RD NE,210,Lenox,B,33.848,-84.35947
LARCENY-NON VEHICLE,93371778,12032009,2685 METROPOLITAN PKWY SW,309,Perkerson,X,33.68274,-84.40902
LARCENY-FROM VEHICLE,93370525,12032009,1178 PIEDMONT AVE NE,502,Ansley Park,E,33.78733,-84.37824
AGG ASSAULT,93360170,12022009,1380 ATLANTIC DR NW,501,Atlantic Station,E,33.79282,-84.39779
LARCENY-NON VEHICLE,93360896,12022009,425 PONCE DE LEON AVE NE,603,Old Fourth Ward,M,33.77255,-84.37348
LARCENY-NON VEHICLE,93361283,12022009,28 7TH ST NE,505,Midtown,E,33.77893,-84.3864
BURGLARY-RESIDENCE,93362048,12022009,2745 OLD HAPEVILLE RD SW,311,Glenrose Heights,Z,33.67992,-84.39348
LARCENY-NON VEHICLE,93351077,12012009,255 COURTLAND ST NE,509,Downtown,M,33.76139,-84.38406
ROBBERY-PEDESTRIAN,93351985,12012009,1867 MYRTLE DR SW,410,Campbellton Road,R,33.70394,-84.4551
AGG ASSAULT,93350685,12012009,BOULEVARD NE / ANGIER AVE NE,603,Old Fourth Ward,M,33.76639,-84.37192
LARCENY-NON VEHICLE,90310130,01312009,415 ARMOUR DR NE,212,,F,33.81267,-84.37412
LARCENY-NON VEHICLE,90310993,01312009,1150 PEACHTREE ST NE,503,Midtown,E,33.78595,-84.3837
LARCENY-FROM VEHICLE,90311659,01312009,950 MARIETTA ST NW,504,Marietta Street Artery,E,33.77689,-84.40807
LARCENY-NON VEHICLE,90290886,01302009,12 BROAD ST,511,Downtown,M,33.7532,-84.39201
LARCENY-FROM VEHICLE,90300467,01302009,672 BONAVENTURE AVE NE,602,Poncey-Highland,N,33.77282,-84.36129
LARCENY-FROM VEHICLE,90301135,01302009,1252 FRANCIS ST NW,501,Home Park,E,33.78907,-84.39696
LARCENY-NON VEHICLE,90291261,01292009,3500 PEACHTREE RD NE @PHIPPS PLAZA,208,North Buckhead,B,33.85252,-84.36116
AGG ASSAULT,90291736,01292009,1061 LEE STREET SW,402,Oakland City,S,33.7258,-84.41957
AUTO THEFT,90290224,01292009,921 WESTMORELAND CIR NW,110,West Highlands,G,33.78956,-84.44919
ROBBERY-RESIDENCE,90290972,01292009,76 HAYGOOD AVE,304,Peoplestown,V,33.72654,-84.38613
AGG ASSAULT,90280163,01282009,1181 MCPHERSON AVE. S.E.,612,East Atlanta,W,33.74322,-84.34866
LARCENY-FROM VEHICLE,90280908,01282009,6TH ST @ CYPRESS ST,501,Home Park,E,33.78159,-84.39674
